organization,brand,operating_brand,operator_status,city,address,industry,stage,opportunity_type,score,vendor_readiness_score,independent_signal_count,contactability_status,official_website,business_phone,business_email,contact_page,timing_value,stage_confidence,signal_count,first_detected_at,first_actionable_at,last_signal_at,estimated_open_window,review_status,review_note,source_count,vendor_needs
Jeannette McDonald,Jeannette McDonald,Jeannette McDonald,UNKNOWN,Portsmouth,86 Farm Lane,professional office,PLANNING,major_renovation,64.1,30.8,1,NOT_CONTACTABLE,,,,,MEDIUM,0.72,1,2026-08-19 15:16:52.550114,2026-08-19 15:16:52.550114,2026-08-19 15:16:52.550114,,false_positive,Residential subdivision with no commercial operating event.,1,commercial_cleaning;commercial_insurance;internet
Double MC LLC,Double MC LLC,Double MC LLC,PROPERTY_OWNER_ONLY,Portsmouth,134 Pleasant Street,other,PLANNING,major_renovation,64.1,45.8,1,NOT_CONTACTABLE,,,,,MEDIUM,0.72,1,2026-08-19 15:16:52.557877,2026-08-19 15:16:52.557877,2026-08-19 15:16:52.557877,,actionable,Site redevelopment explicitly includes expanded/new commercial space.,1,commercial_cleaning;commercial_insurance;internet
Regan Electric CO INC,Regan Electric CO INC,Regan Electric CO INC,UNKNOWN,Portsmouth,94 Langdon Street and 98 Cornwall Street,other,PLANNING,major_renovation,64.1,30.8,1,NOT_CONTACTABLE,,,,,MEDIUM,0.72,1,2026-08-19 15:16:52.565636,2026-08-19 15:16:52.565636,2026-08-19 15:16:52.565636,,false_positive,Three single-family dwellings; owner name looked commercial but project is residential.,1,commercial_cleaning;commercial_insurance;internet
Society for the Protection of Forests,Society for the Protection of Forests,Society for the Protection of Forests,UNKNOWN,Portsmouth,400 Little Harbor Road,other,PLANNING,major_renovation,64.1,30.8,1,NOT_CONTACTABLE,,,,,MEDIUM,0.72,1,2026-08-19 15:16:52.573930,2026-08-19 15:16:52.573930,2026-08-19 15:16:52.573930,,not_actionable,Nonprofit shoreline-trail repair is not a new commercial customer event.,1,commercial_cleaning;commercial_insurance;internet
304 Maplewood LLC,304 Maplewood LLC,304 Maplewood LLC,PROPERTY_OWNER_ONLY,Portsmouth,304 Maplewood Avenue,professional office,PLANNING,major_renovation,64.1,45.8,1,NOT_CONTACTABLE,,,,,MEDIUM,0.72,1,2026-08-19 15:16:52.580262,2026-08-19 15:16:52.580262,2026-08-19 15:16:52.580262,,actionable,"Current 1,011 sq ft addition to a commercial office building.",1,commercial_cleaning;commercial_insurance;internet
Paul J. Griffin Family Trust,Paul J. Griffin Family Trust,Paul J. Griffin Family Trust,UNKNOWN,Portsmouth,0 South Street and Richards Avenue,professional office,PLANNING,major_renovation,64.1,30.8,1,NOT_CONTACTABLE,,,,,MEDIUM,0.72,1,2026-08-19 15:16:52.587398,2026-08-19 15:16:52.587398,2026-08-19 15:16:52.587398,,duplicate,Duplicate representation of the South Street subdivision.,1,commercial_cleaning;commercial_insurance;internet
J. Paul Griffin Family Trust,J. Paul Griffin Family Trust,J. Paul Griffin Family Trust,UNKNOWN,Portsmouth,0 South Street and Richards Avenue,professional office,PLANNING,major_renovation,64.1,30.8,1,NOT_CONTACTABLE,,,,,MEDIUM,0.72,1,2026-08-19 15:16:52.594123,2026-08-19 15:16:52.594123,2026-08-19 15:16:52.594123,,false_positive,Residential subdivision with no commercial operating event.,1,commercial_cleaning;commercial_insurance;internet
Sagamore Avenue CBC LLC,Sagamore Avenue CBC LLC,Sagamore Avenue CBC LLC,UNKNOWN,Portsmouth,1151 Sagamore Avenue,professional office,PLANNING,major_renovation,64.1,30.8,1,NOT_CONTACTABLE,,,,,MEDIUM,0.72,1,2026-08-19 15:16:52.601550,2026-08-19 15:16:52.601550,2026-08-19 15:16:52.601550,,duplicate,Duplicate legal-name variant for the 1151 Sagamore residential project.,1,commercial_cleaning;commercial_insurance;internet
1151 Sagamore Avenue CBC LLC,1151 Sagamore Avenue CBC LLC,1151 Sagamore Avenue CBC LLC,UNKNOWN,Portsmouth,1151 Sagamore Avenue,professional office,PLANNING,major_renovation,64.1,30.8,1,NOT_CONTACTABLE,,,,,MEDIUM,0.72,1,2026-08-19 15:16:52.608316,2026-08-19 15:16:52.608316,2026-08-19 15:16:52.608316,,false_positive,Four standalone residential condominiums; no commercial opening.,1,commercial_cleaning;commercial_insurance;internet
The City of Portsmouth,The City of Portsmouth,The City of Portsmouth,UNKNOWN,Portsmouth,50 Clough Drive,other,PLANNING,major_renovation,64.1,30.8,1,NOT_CONTACTABLE,,,,,MEDIUM,0.72,1,2026-08-19 15:16:52.614753,2026-08-19 15:16:52.614753,2026-08-19 15:16:52.614753,,not_actionable,Municipal playground accessibility project is outside the commercial prospect thesis.,1,commercial_cleaning;commercial_insurance;internet
Potter's Green & Gift,Potter's Green & Gift,Potter's Green & Gift,UNKNOWN,Dover,6 Third St,other,RELOCATING,relocation,59.5,33.2,1,NOT_CONTACTABLE,,,,,MEDIUM,0.88,1,2026-08-19 15:16:52.705072,,2026-08-19 15:16:52.705072,,not_actionable,Newsletter reported relocation after the new space had already been transformed.,1,commercial_cleaning;commercial_insurance;internet
Charros Mexican Cuisine,Charros Mexican Cuisine,Charros Mexican Cuisine,UNKNOWN,Dover,47 Washington St,other,OPEN,new_business,80.4,29.7,1,NOT_CONTACTABLE,,,,,LOW,0.98,1,2026-08-19 15:16:52.712685,2026-08-19 15:16:52.712685,2026-08-19 15:16:52.712685,,not_actionable,Official newsletter detected the restaurant only at soft opening; sales window is too late.,1,commercial_cleaning;commercial_insurance;internet
"Centro GA Willow Springs Plaza, LLC, Sunny Patel (Owners) Fernando Penagos","Centro GA Willow Springs Plaza, LLC, Sunny Patel (Owners) Fernando Penagos","Centro GA Willow Springs Plaza, LLC, Sunny Patel (Owners) Fernando Penagos",UNKNOWN,Nashua,290-294 Daniel Webster Highway (Willow Springs Plaza),retail,STALE,major_renovation,49.1,28.5,1,NOT_CONTACTABLE,,,,,LOW,0.9,1,2026-08-19 15:18:21.955654,,2026-08-19 15:18:21.955654,,stale,February 2025 nicotine-retail application has no current corroboration.,1,commercial_cleaning;commercial_insurance;internet
"ZJBV Properties, LLC","ZJBV Properties, LLC","ZJBV Properties, LLC",UNKNOWN,Nashua,152 Temple Street and “L” Bridge Street,warehouse/logistics,STALE,major_renovation,49.1,28.5,1,NOT_CONTACTABLE,,,,,LOW,0.9,1,2026-08-19 15:18:21.986468,,2026-08-19 15:18:21.986468,,false_positive,Residential multifamily development was admitted by equipment-storage wording.,1,commercial_cleaning;commercial_insurance;internet
"Ajima Investments, LLC (Owners) Xiaoyan (Shawn) Huang","Ajima Investments, LLC (Owners) Xiaoyan (Shawn) Huang","Ajima Investments, LLC (Owners) Xiaoyan (Shawn) Huang",UNKNOWN,Nashua,427-429 Amherst Street,retail,STALE,major_renovation,49.1,28.5,1,NOT_CONTACTABLE,,,,,LOW,0.9,1,2026-08-19 15:18:21.994157,,2026-08-19 15:18:21.994157,,stale,January 2025 nicotine-retail application has no current corroboration.,1,commercial_cleaning;commercial_insurance;internet
Unresolved commercial project — 2188 Candia Road,Unresolved commercial project — 2188 Candia Road,Unresolved commercial project — 2188 Candia Road,UNKNOWN,Manchester,2188 Candia Road,warehouse/logistics,PLANNING,major_renovation,62.4,30.8,1,NOT_CONTACTABLE,,,,,MEDIUM,0.72,1,2026-08-19 15:19:28.078657,,2026-08-19 15:19:28.078657,,not_actionable,Accessory outdoor storage for an existing neighboring auto-repair use.,1,commercial_cleaning;commercial_insurance;internet
Unresolved commercial project — 308 Lake Avenue,Unresolved commercial project — 308 Lake Avenue,Unresolved commercial project — 308 Lake Avenue,UNKNOWN,Manchester,308 Lake Avenue,retail,PLANNING,major_renovation,62.4,30.8,1,NOT_CONTACTABLE,,,,,MEDIUM,0.72,1,2026-08-19 15:19:28.102797,,2026-08-19 15:19:28.102797,,false_positive,"Commercial space is being converted to residential units, not a B2B opening.",1,commercial_cleaning;commercial_insurance;internet
Unresolved commercial project — 1883 Elm Street,Unresolved commercial project — 1883 Elm Street,Unresolved commercial project — 1883 Elm Street,UNKNOWN,Manchester,1883 Elm Street,restaurant,PLANNING,major_renovation,57.1,30.8,1,NOT_CONTACTABLE,,,,,MEDIUM,0.72,1,2026-08-19 15:19:28.111269,,2026-08-19 15:19:28.111269,,uncertain,New vehicle-sales use is plausible but operator identity is unresolved.,1,commercial_cleaning;commercial_insurance;internet
Unresolved commercial project — 8051 South Willow Street,Unresolved commercial project — 8051 South Willow Street,Unresolved commercial project — 8051 South Willow Street,UNKNOWN,Manchester,8051 South Willow Street,retail,PLANNING,major_renovation,57.1,30.8,1,NOT_CONTACTABLE,,,,,MEDIUM,0.72,1,2026-08-19 15:19:28.121359,,2026-08-19 15:19:28.121359,,uncertain,New beauty-salon use has an exact site but no resolved operating business.,1,commercial_cleaning;commercial_insurance;internet
Unresolved commercial project — 425 Candia Road,Unresolved commercial project — 425 Candia Road,Unresolved commercial project — 425 Candia Road,UNKNOWN,Manchester,425 Candia Road,retail,PLANNING,major_renovation,54.8,30.8,1,NOT_CONTACTABLE,,,,,MEDIUM,0.72,1,2026-08-19 15:19:28.156503,,2026-08-19 15:19:28.156503,,uncertain,Beauty-salon expansion is current but the operating identity is unresolved.,1,commercial_cleaning;commercial_insurance;internet
Unresolved commercial project — 450 Howe Street,Unresolved commercial project — 450 Howe Street,Unresolved commercial project — 450 Howe Street,UNKNOWN,Manchester,450 Howe Street,professional office,LOCATION_CONFIRMED,major_renovation,46.8,30.5,1,NOT_CONTACTABLE,,,,,HIGH,0.7,1,2026-08-19 15:19:28.163968,,2026-08-19 15:19:28.163968,,uncertain,Contractor-office establishment is current but the operator is unresolved.,1,commercial_cleaning;commercial_insurance;internet
Unresolved commercial project — 251 Pine Street,Unresolved commercial project — 251 Pine Street,Unresolved commercial project — 251 Pine Street,UNKNOWN,Manchester,251 Pine Street,retail,STALE,major_renovation,47.9,28.5,1,NOT_CONTACTABLE,,,,,LOW,0.9,1,2026-08-19 15:19:28.185278,,2026-08-19 15:19:28.185278,,false_positive,Residential-unit conversion was admitted by broad commercial-keyword filtering.,1,commercial_cleaning;commercial_insurance;internet
"Bluebird Salem, LLC","Bluebird Salem, LLC",Bluebird Self Storage,KNOWN,Salem,9 Northeastern Boulevard,warehouse/logistics,LOCATION_CONFIRMED,major_renovation,57.8,80.5,1,CONTACTABLE,https://bluebirdstorage.com,,,,HIGH,0.7,1,2026-08-19 15:19:28.299517,,2026-08-19 15:19:28.299517,,actionable,Large new self-storage facility with current sign/site activity.,1,commercial_cleaning;commercial_insurance;internet
"Keewaydin Drive Realty, LLC","Keewaydin Drive Realty, LLC","Keewaydin Drive Realty, LLC",UNKNOWN,Salem,15 Keewaydin Drive,professional office,LOCATION_CONFIRMED,major_renovation,57.8,30.5,1,NOT_CONTACTABLE,,,,,HIGH,0.7,1,2026-08-19 15:19:28.307246,,2026-08-19 15:19:28.307246,,not_actionable,Sign activity for an already approved/existing office building.,1,commercial_cleaning;commercial_insurance;internet
Wonder,Wonder,Wonder,KNOWN,Salem,125 South Broadway,restaurant,PRE_OPENING,new_location,59.5,90.7,2,CONTACTABLE,https://wonder.com,,,https://support.wonder.com,MEDIUM,0.88,2,2026-08-19 15:19:28.314850,,2026-08-19 15:19:28.314850,,actionable,Wonder has an exact site and current municipal sign/site-plan evidence.,2,commercial_cleaning;commercial_insurance;internet
"Twenty-One Keewaydin Drive, LLC","Twenty-One Keewaydin Drive, LLC","Twenty-One Keewaydin Drive, LLC",PROPERTY_OWNER_ONLY,Salem,21 Keewaydin Drive,professional office,BUILDOUT,major_renovation,64.1,55.1,2,NOT_CONTACTABLE,,,,,HIGH,0.8400000000000001,2,2026-08-19 15:19:28.321351,2026-08-19 15:19:28.321351,2026-08-19 15:19:28.321351,,actionable,"Building under construction is changing to a 33,894 sq ft adult-education facility.",2,commercial_cleaning;commercial_insurance;internet
"Singh Realty, LLC","Singh Realty, LLC","Singh Realty, LLC",DEVELOPER_ONLY,Salem,9 Manor Parkway,other,PLANNING,major_renovation,64.1,45.8,1,NOT_CONTACTABLE,,,,,MEDIUM,0.72,1,2026-08-19 15:19:28.328200,2026-08-19 15:19:28.328200,2026-08-19 15:19:28.328200,,actionable,"New 22,736 sq ft 14-unit contractor building at an exact commercial site.",1,commercial_cleaning;commercial_insurance;internet
"Main Street 401, LLC","Main Street 401, LLC","Main Street 401, LLC",UNKNOWN,Salem,401 Main Street,professional office,PLANNING,major_renovation,64.1,30.8,1,NOT_CONTACTABLE,,,,,MEDIUM,0.72,1,2026-08-19 15:19:28.335941,2026-08-19 15:19:28.335941,2026-08-19 15:19:28.335941,,false_positive,Office units are being converted to residential apartments.,1,commercial_cleaning;commercial_insurance;internet
"Net Lease Realty, Inc","Net Lease Realty, Inc",RPM Fuels,KNOWN,Bedford,137 Route 101,restaurant,PLANNING,major_renovation,54.0,88.3,2,CONTACTABLE,https://rpmfuels101.com,+16034722763,,,MEDIUM,0.72,2,2026-08-19 15:23:12.160905,,2026-08-19 15:23:12.160905,,actionable,Gas-station addition and conversion of service bays to convenience retail.,2,commercial_cleaning;commercial_insurance;internet
"Bellazardan, LLC","Bellazardan, LLC","Bellazardan, LLC",DEVELOPER_ONLY,Bedford,30 Harvey Road,warehouse/logistics,PLANNING,major_renovation,49.4,45.8,1,NOT_CONTACTABLE,,,,,MEDIUM,0.72,1,2026-08-19 15:23:12.183163,,2026-08-19 15:23:12.183163,,actionable,"Current extension for approved 14,097 sq ft light-industrial project.",1,commercial_cleaning;commercial_insurance;internet
"SRR Bedford NH Ventures, LLC","SRR Bedford NH Ventures, LLC","SRR Bedford NH Ventures, LLC",PROPERTY_OWNER_ONLY,Bedford,a property located at the corner of Technology Drive and South River Road,restaurant,STALE,major_renovation,49.1,43.5,1,NOT_CONTACTABLE,,,,,LOW,0.9,1,2026-08-19 15:23:12.192742,,2026-08-19 15:23:12.192742,,actionable,"New gas station, convenience store, and drive-through fast-food project.",1,commercial_cleaning;commercial_insurance;internet
Bedford RLG Properties LLC,Bedford RLG Properties LLC,Bedford RLG Properties LLC,PROPERTY_OWNER_ONLY,Bedford,308 South River Road,other,STALE,major_renovation,49.1,43.5,1,NOT_CONTACTABLE,,,,,LOW,0.9,1,2026-08-19 15:23:12.201058,,2026-08-19 15:23:12.201058,,actionable,"Current 150,000 sq ft commercial warehouse/manufacturing proposal.",1,commercial_cleaning;commercial_insurance;internet
"265 SRR, LLC & Rockfish REI, LLC","265 SRR, LLC & Rockfish REI, LLC","265 SRR, LLC & Rockfish REI, LLC",DEVELOPER_ONLY,Bedford,269 and 265 South River Road,professional office,PLANNING,major_renovation,49.4,45.8,1,NOT_CONTACTABLE,,,,,MEDIUM,0.72,1,2026-08-19 15:23:35.908138,,2026-08-19 15:23:35.908138,,actionable,"New 19,270 sq ft professional and medical office project with exact site.",1,commercial_cleaning;commercial_insurance;internet
#W221 GO GAMES AND CALENDARS,#W221 GO GAMES AND CALENDARS,#W221 GO GAMES AND CALENDARS,UNKNOWN,Salem,1 MALL RD,retail,STALE,new_location,55.3,28.5,1,NOT_CONTACTABLE,,,,,LOW,0.9,1,2026-08-19 15:39:39.256974,,2026-08-19 15:39:39.256974,,stale,Real Go Games relocation within the mall; historical and no longer early.,1,commercial_cleaning;commercial_insurance;internet
"#w255 G&D CUSTOM LLC NEW OCCUPANT--NO CONSTRUCTION CHANGE OF OCCUPANT, NO CONSTRUCTION. CUSTOM PRINTED T-SHIRT (CLOTHING) STORE. RETIAL USE2ND FLOOR, R/S, AFTER JC PENNY 1,000.00$ 100.00 $ GIRGIS ABDELNOUR ROCKSAL MALL LLC","#w255 G&D CUSTOM LLC NEW OCCUPANT--NO CONSTRUCTION CHANGE OF OCCUPANT, NO CONSTRUCTION. CUSTOM PRINTED T-SHIRT (CLOTHING) STORE. RETIAL USE2ND FLOOR, R/S, AFTER JC PENNY 1,000.00$ 100.00 $ GIRGIS ABDELNOUR ROCKSAL MALL LLC","#w255 G&D CUSTOM LLC NEW OCCUPANT--NO CONSTRUCTION CHANGE OF OCCUPANT, NO CONSTRUCTION. CUSTOM PRINTED T-SHIRT (CLOTHING) STORE. RETIAL USE2ND FLOOR, R/S, AFTER JC PENNY 1,000.00$ 100.00 $ GIRGIS ABDELNOUR ROCKSAL MALL LLC",UNKNOWN,Salem,1 MALL RD,other,STALE,new_location,55.3,28.5,1,NOT_CONTACTABLE,,,,,LOW,0.9,1,2026-08-19 15:39:39.282043,,2026-08-19 15:39:39.282043,,stale,Real G&D Custom retail occupancy event; historical and no longer early.,1,commercial_cleaning;commercial_insurance;internet
#E257 PERFUMANIA,#E257 PERFUMANIA,#E257 PERFUMANIA,UNKNOWN,Salem,1 MALL RD,retail,STALE,new_location,55.3,28.5,1,NOT_CONTACTABLE,,,,,LOW,0.9,1,2026-08-19 15:39:39.290294,,2026-08-19 15:39:39.290294,,stale,Real Perfumania tenant alteration in September 2025; historical and no longer an early sales window.,1,commercial_cleaning;commercial_insurance;internet
"SPIRIT HALLOWEEN, #5TEMPORARY EVENT NO CONSTRUCTION, TENANT FIT FOR HALLOWEEN STORE, NO STRUCTURAL CHANGES TO THE STRUCTURE OF THE BUILDING. MID AUGUST TO NOV 15, 2025. TEMP EVENT ONLY, NO CHANGES TO BUILDING OR SITE 1,000.00$ 100.00$ JESS PERNA ROCKINGHAM 620 INC","SPIRIT HALLOWEEN, #5TEMPORARY EVENT NO CONSTRUCTION, TENANT FIT FOR HALLOWEEN STORE, NO STRUCTURAL CHANGES TO THE STRUCTURE OF THE BUILDING. MID AUGUST TO NOV 15, 2025. TEMP EVENT ONLY, NO CHANGES TO BUILDING OR SITE 1,000.00$ 100.00$ JESS PERNA ROCKINGHAM 620 INC","SPIRIT HALLOWEEN, #5TEMPORARY EVENT NO CONSTRUCTION, TENANT FIT FOR HALLOWEEN STORE, NO STRUCTURAL CHANGES TO THE STRUCTURE OF THE BUILDING. MID AUGUST TO NOV 15, 2025. TEMP EVENT ONLY, NO CHANGES TO BUILDING OR SITE 1,000.00$ 100.00$ JESS PERNA ROCKINGHAM 620 INC",UNKNOWN,Salem,92CLUFF CROSSING RD,other,STALE,new_location,55.3,28.5,1,NOT_CONTACTABLE,,,,,LOW,0.9,1,2026-08-19 15:39:39.300019,,2026-08-19 15:39:39.300019,,false_positive,Temporary seasonal Spirit Halloween store is not a recurring new-business opportunity.,1,commercial_cleaning;commercial_insurance;internet
LULULEMON #E127,LULULEMON #E127,LULULEMON #E127,UNKNOWN,Salem,1 MALL RD,retail,STALE,new_location,55.3,28.5,1,NOT_CONTACTABLE,,,,,LOW,0.9,1,2026-08-19 15:39:39.308466,,2026-08-19 15:39:39.308466,,stale,Real Lululemon tenant fit-out; potentially valuable in real time but stale at backfill.,1,commercial_cleaning;commercial_insurance;internet
Unresolved commercial permit — 10 PARK AVE,Unresolved commercial permit — 10 PARK AVE,Unresolved commercial permit — 10 PARK AVE,UNKNOWN,Salem,10 PARK AVE,other,STALE,new_location,57.9,28.5,1,NOT_CONTACTABLE,,,,,LOW,0.9,1,2026-08-19 15:39:39.316883,,2026-08-19 15:39:39.316883,,false_positive,Residential ADU certificate admitted by the initial occupancy keyword rule.,1,commercial_cleaning;commercial_insurance;internet
W115- CAFFE NERO,W115- CAFFE NERO,W115- CAFFE NERO,UNKNOWN,Salem,1 MALL RD,other,STALE,new_location,55.3,28.5,1,NOT_CONTACTABLE,,,,,LOW,0.9,1,2026-08-19 15:39:39.323574,,2026-08-19 15:39:39.323574,,stale,Real Caffe Nero tenant fit-out; potentially valuable in real time but stale at backfill.,1,commercial_cleaning;commercial_insurance;internet
CASINO SALEM,CASINO SALEM,CASINO SALEM,UNKNOWN,Salem,1 MALL RD,entertainment,STALE,new_location,63.0,28.5,1,NOT_CONTACTABLE,,,,,LOW,0.9,1,2026-08-19 15:39:39.332361,,2026-08-19 15:39:39.332361,,stale,Real Casino Salem occupancy event; certificate of occupancy is a late-stage historical signal.,1,commercial_cleaning;commercial_insurance;internet
Unresolved commercial permit — 13SANDY BEACH RD,Unresolved commercial permit — 13SANDY BEACH RD,Unresolved commercial permit — 13SANDY BEACH RD,UNKNOWN,Salem,13SANDY BEACH RD,other,STALE,new_location,57.9,28.5,1,NOT_CONTACTABLE,,,,,LOW,0.9,1,2026-08-19 15:39:39.340933,,2026-08-19 15:39:39.340933,,false_positive,Residential replacement home certificate admitted by the initial occupancy keyword rule.,1,commercial_cleaning;commercial_insurance;internet
"FIVE BELOW, #E167A","FIVE BELOW, #E167A","FIVE BELOW, #E167A",UNKNOWN,Salem,1 MALL RD,retail,STALE,new_location,63.0,28.5,1,NOT_CONTACTABLE,,,,,LOW,0.9,1,2026-08-19 15:39:39.348413,,2026-08-19 15:39:39.348413,,stale,Real Five Below occupancy event; historical and no longer early.,1,commercial_cleaning;commercial_insurance;internet
SAL'S PIZZA,SAL'S PIZZA,SAL'S PIZZA,UNKNOWN,Salem,4 MALL RD,other,STALE,new_location,63.0,28.5,1,NOT_CONTACTABLE,,,,,LOW,0.9,1,2026-08-19 15:39:39.355436,,2026-08-19 15:39:39.355436,,stale,Real Sal's Pizza occupancy event; historical and no longer early.,1,commercial_cleaning;commercial_insurance;internet
"DESIGNER PERFUME, E159A","DESIGNER PERFUME, E159A","DESIGNER PERFUME, E159A",UNKNOWN,Salem,1 MALL RD,retail,STALE,new_location,63.0,36.0,2,NOT_CONTACTABLE,,,,,LOW,0.9,2,2026-08-19 15:39:39.362380,,2026-08-19 15:39:39.397660,,stale,Real Designer Perfume relocation/occupancy with two permit signals; historical.,1,commercial_cleaning;commercial_insurance;internet
MOBILE PK,MOBILE PK,MOBILE PK,UNKNOWN,Salem,36 POLICY LN,other,STALE,new_location,63.0,28.5,1,NOT_CONTACTABLE,,,,,LOW,0.9,1,2026-08-19 15:39:39.369322,,2026-08-19 15:39:39.369322,,false_positive,Residential replacement mobile home admitted by certificate-of-occupancy keyword.,1,commercial_cleaning;commercial_insurance;internet
DAIRY QUEEN #F218,DAIRY QUEEN #F218,DAIRY QUEEN #F218,UNKNOWN,Salem,1 MALL RD,restaurant,STALE,new_location,63.0,28.5,1,NOT_CONTACTABLE,,,,,LOW,0.9,1,2026-08-19 15:39:39.375676,,2026-08-19 15:39:39.375676,,stale,Real Dairy Queen occupancy event; historical and no longer early.,1,commercial_cleaning;commercial_insurance;internet
