organization,brand,operating_brand,operator_status,operator_confidence,city,address,industry,stage,opportunity_type,score,vendor_readiness_score,vendor_readiness_tier,independent_signal_count,contactability_status,contact_utility_class,contact_utility_score,freshness_status,source_event_at,source_published_at,first_observed_live_at,first_actionable_live_at,last_meaningful_signal_at,cleaning_relevance_score,cleaning_lead_tier,official_website,business_phone,business_email,contact_page,timing_value,stage_confidence,signal_count,first_detected_at,first_actionable_at,first_operator_identified_at,first_contactable_at,last_signal_at,estimated_open_window,review_status,review_note,source_count,vendor_needs
The Ci ty of Portsmouth/New Franklin School,The Ci ty of Portsmouth/New Franklin School,The Ci ty of Portsmouth/New Franklin School,UNKNOWN,UNKNOWN,Portsmouth,1 Franklin Drive,other,PLANNING,major_renovation,64.1,30.8,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2026-06-12 00:00:00,,,,,24.0,NOT_RELEVANT,,,,,MEDIUM,0.72,1,2026-08-19 15:16:52.536316,2026-08-19 15:16:52.536316,,,2026-08-19 15:16:52.536316,,not_actionable,Municipal elementary-school addition is outside the commercial prospect thesis.,1,commercial_cleaning;commercial_insurance;internet
The City of Portsmouth/New Franklin School,The City of Portsmouth/New Franklin School,The City of Portsmouth/New Franklin School,UNKNOWN,UNKNOWN,Portsmouth,1 Franklin Drive,other,PLANNING,major_renovation,64.1,30.8,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2026-06-18 00:00:00,,,,,24.0,NOT_RELEVANT,,,,,MEDIUM,0.72,1,2026-08-19 15:16:52.543276,2026-08-19 15:16:52.543276,,,2026-08-19 15:16:52.543276,,duplicate,Duplicate name variant for the same New Franklin School project.,1,commercial_cleaning;commercial_insurance;internet
Jeannette McDonald,Jeannette McDonald,Jeannette McDonald,UNKNOWN,UNKNOWN,Portsmouth,86 Farm Lane,professional office,PLANNING,major_renovation,64.1,30.8,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2026-05-15 00:00:00,,,,,32.0,NOT_RELEVANT,,,,,MEDIUM,0.72,1,2026-08-19 15:16:52.550114,2026-08-19 15:16:52.550114,,,2026-08-19 15:16:52.550114,,false_positive,Residential subdivision with no commercial operating event.,1,commercial_cleaning;commercial_insurance;internet
Double MC LLC,Double MC LLC,Kennebunk Savings,KNOWN,MEDIUM,Portsmouth,134 Pleasant Street,other,PLANNING,major_renovation,64.1,80.8,B,1,CONTACTABLE,CORPORATE,60,HISTORICAL,2026-03-26 00:00:00,,,,,41.0,CLEANING_C,,,,https://kennebunksavings.com/contact-us,MEDIUM,0.72,1,2026-08-19 15:16:52.557877,2026-08-19 15:16:52.557877,2026-08-19 17:37:38.780552,2026-08-19 17:37:38.781780,2026-08-19 15:16:52.557877,,actionable,Site redevelopment explicitly includes expanded/new commercial space.,1,commercial_cleaning;commercial_insurance;internet
Regan Electric CO INC,Regan Electric CO INC,Regan Electric CO INC,UNKNOWN,UNKNOWN,Portsmouth,94 Langdon Street and 98 Cornwall Street,other,PLANNING,major_renovation,64.1,30.8,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2026-05-15 00:00:00,,,,,24.0,NOT_RELEVANT,,,,,MEDIUM,0.72,1,2026-08-19 15:16:52.565636,2026-08-19 15:16:52.565636,,,2026-08-19 15:16:52.565636,,false_positive,Three single-family dwellings; owner name looked commercial but project is residential.,1,commercial_cleaning;commercial_insurance;internet
Society for the Protection of Forests,Society for the Protection of Forests,Society for the Protection of Forests,UNKNOWN,UNKNOWN,Portsmouth,400 Little Harbor Road,other,PLANNING,major_renovation,64.1,30.8,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2026-05-15 00:00:00,,,,,24.0,NOT_RELEVANT,,,,,MEDIUM,0.72,1,2026-08-19 15:16:52.573930,2026-08-19 15:16:52.573930,,,2026-08-19 15:16:52.573930,,not_actionable,Nonprofit shoreline-trail repair is not a new commercial customer event.,1,commercial_cleaning;commercial_insurance;internet
304 Maplewood LLC,304 Maplewood LLC,304 Maplewood LLC,PROPERTY_OWNER_ONLY,UNKNOWN,Portsmouth,304 Maplewood Avenue,professional office,PLANNING,major_renovation,64.1,45.8,C,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2026-05-21 00:00:00,,,,,32.0,CLEANING_C,,,,,MEDIUM,0.72,1,2026-08-19 15:16:52.580262,2026-08-19 15:16:52.580262,,,2026-08-19 15:16:52.580262,,actionable,"Current 1,011 sq ft addition to a commercial office building.",1,commercial_cleaning;commercial_insurance;internet
Paul J. Griffin Family Trust,Paul J. Griffin Family Trust,Paul J. Griffin Family Trust,UNKNOWN,UNKNOWN,Portsmouth,0 South Street and Richards Avenue,professional office,PLANNING,major_renovation,64.1,30.8,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2026-04-10 00:00:00,,,,,32.0,NOT_RELEVANT,,,,,MEDIUM,0.72,1,2026-08-19 15:16:52.587398,2026-08-19 15:16:52.587398,,,2026-08-19 15:16:52.587398,,duplicate,Duplicate representation of the South Street subdivision.,1,commercial_cleaning;commercial_insurance;internet
J. Paul Griffin Family Trust,J. Paul Griffin Family Trust,J. Paul Griffin Family Trust,UNKNOWN,UNKNOWN,Portsmouth,0 South Street and Richards Avenue,professional office,PLANNING,major_renovation,64.1,30.8,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2026-04-16 00:00:00,,,,,32.0,NOT_RELEVANT,,,,,MEDIUM,0.72,1,2026-08-19 15:16:52.594123,2026-08-19 15:16:52.594123,,,2026-08-19 15:16:52.594123,,false_positive,Residential subdivision with no commercial operating event.,1,commercial_cleaning;commercial_insurance;internet
Sagamore Avenue CBC LLC,Sagamore Avenue CBC LLC,Sagamore Avenue CBC LLC,UNKNOWN,UNKNOWN,Portsmouth,1151 Sagamore Avenue,professional office,PLANNING,major_renovation,64.1,30.8,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2026-04-10 00:00:00,,,,,32.0,NOT_RELEVANT,,,,,MEDIUM,0.72,1,2026-08-19 15:16:52.601550,2026-08-19 15:16:52.601550,,,2026-08-19 15:16:52.601550,,duplicate,Duplicate legal-name variant for the 1151 Sagamore residential project.,1,commercial_cleaning;commercial_insurance;internet
1151 Sagamore Avenue CBC LLC,1151 Sagamore Avenue CBC LLC,1151 Sagamore Avenue CBC LLC,UNKNOWN,UNKNOWN,Portsmouth,1151 Sagamore Avenue,professional office,PLANNING,major_renovation,64.1,30.8,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2026-04-16 00:00:00,,,,,32.0,NOT_RELEVANT,,,,,MEDIUM,0.72,1,2026-08-19 15:16:52.608316,2026-08-19 15:16:52.608316,,,2026-08-19 15:16:52.608316,,false_positive,Four standalone residential condominiums; no commercial opening.,1,commercial_cleaning;commercial_insurance;internet
The City of Portsmouth,The City of Portsmouth,The City of Portsmouth,UNKNOWN,UNKNOWN,Portsmouth,50 Clough Drive,other,PLANNING,major_renovation,64.1,30.8,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2026-03-26 00:00:00,,,,,24.0,NOT_RELEVANT,,,,,MEDIUM,0.72,1,2026-08-19 15:16:52.614753,2026-08-19 15:16:52.614753,,,2026-08-19 15:16:52.614753,,not_actionable,Municipal playground accessibility project is outside the commercial prospect thesis.,1,commercial_cleaning;commercial_insurance;internet
Potter's Green & Gift,Potter's Green & Gift,Potter's Green & Gift,UNKNOWN,UNKNOWN,Dover,6 Third St,other,RELOCATING,relocation,59.5,33.2,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2026-06-30 00:00:00,,,,,32.0,NOT_RELEVANT,,,,,MEDIUM,0.88,1,2026-08-19 15:16:52.705072,,,,2026-08-19 15:16:52.705072,,not_actionable,Newsletter reported relocation after the new space had already been transformed.,1,commercial_cleaning;commercial_insurance;internet
Charros Mexican Cuisine,Charros Mexican Cuisine,Charros Mexican Cuisine,UNKNOWN,UNKNOWN,Dover,47 Washington St,other,OPEN,new_business,80.4,29.7,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2026-06-30 00:00:00,,,,,19.0,NOT_RELEVANT,,,,,LOW,0.98,1,2026-08-19 15:16:52.712685,2026-08-19 15:16:52.712685,,,2026-08-19 15:16:52.712685,,not_actionable,Official newsletter detected the restaurant only at soft opening; sales window is too late.,1,commercial_cleaning;commercial_insurance;internet
"Centro GA Willow Springs Plaza, LLC, Sunny Patel (Owners) Fernando Penagos","Centro GA Willow Springs Plaza, LLC, Sunny Patel (Owners) Fernando Penagos","Centro GA Willow Springs Plaza, LLC, Sunny Patel (Owners) Fernando Penagos",UNKNOWN,UNKNOWN,Nashua,290-294 Daniel Webster Highway (Willow Springs Plaza),retail,STALE,major_renovation,49.1,28.5,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2025-02-06 00:00:00,,,,,22.0,NOT_RELEVANT,,,,,LOW,0.9,1,2026-08-19 15:18:21.955654,,,,2026-08-19 15:18:21.955654,,stale,February 2025 nicotine-retail application has no current corroboration.,1,commercial_cleaning;commercial_insurance;internet
"ZJBV Properties, LLC","ZJBV Properties, LLC","ZJBV Properties, LLC",UNKNOWN,UNKNOWN,Nashua,152 Temple Street and “L” Bridge Street,warehouse/logistics,STALE,major_renovation,49.1,28.5,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2025-02-06 00:00:00,,,,,16.0,NOT_RELEVANT,,,,,LOW,0.9,1,2026-08-19 15:18:21.986468,,,,2026-08-19 15:18:21.986468,,false_positive,Residential multifamily development was admitted by equipment-storage wording.,1,commercial_cleaning;commercial_insurance;internet
"Ajima Investments, LLC (Owners) Xiaoyan (Shawn) Huang","Ajima Investments, LLC (Owners) Xiaoyan (Shawn) Huang","Ajima Investments, LLC (Owners) Xiaoyan (Shawn) Huang",UNKNOWN,UNKNOWN,Nashua,427-429 Amherst Street,retail,STALE,major_renovation,49.1,28.5,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2025-01-09 00:00:00,,,,,22.0,NOT_RELEVANT,,,,,LOW,0.9,1,2026-08-19 15:18:21.994157,,,,2026-08-19 15:18:21.994157,,stale,January 2025 nicotine-retail application has no current corroboration.,1,commercial_cleaning;commercial_insurance;internet
Unresolved commercial project — 2188 Candia Road,Unresolved commercial project — 2188 Candia Road,Unresolved commercial project — 2188 Candia Road,UNKNOWN,UNKNOWN,Manchester,2188 Candia Road,warehouse/logistics,PLANNING,major_renovation,62.4,30.8,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2026-08-13 00:00:00,,,,,26.0,NOT_RELEVANT,,,,,MEDIUM,0.72,1,2026-08-19 15:19:28.078657,,,,2026-08-19 15:19:28.078657,,not_actionable,Accessory outdoor storage for an existing neighboring auto-repair use.,1,commercial_cleaning;commercial_insurance;internet
Unresolved commercial project — 308 Lake Avenue,Unresolved commercial project — 308 Lake Avenue,Unresolved commercial project — 308 Lake Avenue,UNKNOWN,UNKNOWN,Manchester,308 Lake Avenue,retail,PLANNING,major_renovation,62.4,30.8,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2026-08-13 00:00:00,,,,,32.0,NOT_RELEVANT,,,,,MEDIUM,0.72,1,2026-08-19 15:19:28.102797,,,,2026-08-19 15:19:28.102797,,false_positive,"Commercial space is being converted to residential units, not a B2B opening.",1,commercial_cleaning;commercial_insurance;internet
Unresolved commercial project — 1883 Elm Street,Unresolved commercial project — 1883 Elm Street,Unresolved commercial project — 1883 Elm Street,UNKNOWN,UNKNOWN,Manchester,1883 Elm Street,restaurant,PLANNING,major_renovation,57.1,30.8,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2026-06-11 00:00:00,,,,,36.0,NOT_RELEVANT,,,,,MEDIUM,0.72,1,2026-08-19 15:19:28.111269,,,,2026-08-19 15:19:28.111269,,uncertain,New vehicle-sales use is plausible but operator identity is unresolved.,1,commercial_cleaning;commercial_insurance;internet
Unresolved commercial project — 8051 South Willow Street,Unresolved commercial project — 8051 South Willow Street,Unresolved commercial project — 8051 South Willow Street,UNKNOWN,UNKNOWN,Manchester,8051 South Willow Street,retail,PLANNING,major_renovation,57.1,30.8,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2026-06-11 00:00:00,,,,,32.0,NOT_RELEVANT,,,,,MEDIUM,0.72,1,2026-08-19 15:19:28.121359,,,,2026-08-19 15:19:28.121359,,uncertain,New beauty-salon use has an exact site but no resolved operating business.,1,commercial_cleaning;commercial_insurance;internet
Unresolved commercial project — 425 Candia Road,Unresolved commercial project — 425 Candia Road,Unresolved commercial project — 425 Candia Road,UNKNOWN,UNKNOWN,Manchester,425 Candia Road,retail,PLANNING,major_renovation,54.8,30.8,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2026-05-14 00:00:00,,,,,32.0,NOT_RELEVANT,,,,,MEDIUM,0.72,1,2026-08-19 15:19:28.156503,,,,2026-08-19 15:19:28.156503,,uncertain,Beauty-salon expansion is current but the operating identity is unresolved.,1,commercial_cleaning;commercial_insurance;internet
Unresolved commercial project — 450 Howe Street,Unresolved commercial project — 450 Howe Street,Unresolved commercial project — 450 Howe Street,UNKNOWN,UNKNOWN,Manchester,450 Howe Street,professional office,LOCATION_CONFIRMED,major_renovation,46.8,30.5,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2026-04-09 00:00:00,,,,,42.0,NOT_RELEVANT,,,,,HIGH,0.7,1,2026-08-19 15:19:28.163968,,,,2026-08-19 15:19:28.163968,,uncertain,Contractor-office establishment is current but the operator is unresolved.,1,commercial_cleaning;commercial_insurance;internet
Unresolved commercial project — 251 Pine Street,Unresolved commercial project — 251 Pine Street,Unresolved commercial project — 251 Pine Street,UNKNOWN,UNKNOWN,Manchester,251 Pine Street,retail,STALE,major_renovation,47.9,28.5,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2026-02-12 00:00:00,,,,,22.0,NOT_RELEVANT,,,,,LOW,0.9,1,2026-08-19 15:19:28.185278,,,,2026-08-19 15:19:28.185278,,false_positive,Residential-unit conversion was admitted by broad commercial-keyword filtering.,1,commercial_cleaning;commercial_insurance;internet
"Bluebird Salem, LLC","Bluebird Salem, LLC",Bluebird Self Storage,KNOWN,HIGH,Salem,9 Northeastern Boulevard,warehouse/logistics,LOCATION_CONFIRMED,major_renovation,57.8,80.5,B,1,CONTACTABLE,BUSINESS_GENERAL,75,FRESH,2026-08-19 00:00:00,,2026-08-19 15:19:28.299517,2026-08-17 00:00:00,2026-08-19 15:19:28.299517,67.2,CLEANING_B,https://bluebirdstorage.com,,,,HIGH,0.7,1,2026-08-19 15:19:28.299517,,2026-08-19 17:37:38.772380,2026-08-19 17:37:38.773637,2026-08-19 15:19:28.299517,,actionable,Large new self-storage facility with current sign/site activity.,1,commercial_cleaning;commercial_insurance;internet
"Keewaydin Drive Realty, LLC","Keewaydin Drive Realty, LLC","Keewaydin Drive Realty, LLC",UNKNOWN,UNKNOWN,Salem,15 Keewaydin Drive,professional office,LOCATION_CONFIRMED,major_renovation,57.8,30.5,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2026-08-19 00:00:00,,,,,42.0,NOT_RELEVANT,,,,,HIGH,0.7,1,2026-08-19 15:19:28.307246,,,,2026-08-19 15:19:28.307246,,not_actionable,Sign activity for an already approved/existing office building.,1,commercial_cleaning;commercial_insurance;internet
Wonder,Wonder,Wonder,KNOWN,CONFIRMED,Salem,125 South Broadway,restaurant,PRE_OPENING,new_location,59.5,90.7,A,2,CONTACTABLE,BUSINESS_GENERAL,75,HISTORICAL,2026-06-30 00:00:00,2026-06-30 00:00:00,,,,83.2,CLEANING_A,https://wonder.com,,,https://support.wonder.com,MEDIUM,0.88,2,2026-08-19 15:19:28.314850,,2026-08-19 17:37:38.827527,2026-08-19 17:37:38.828536,2026-08-19 15:19:28.314850,,actionable,Wonder has an exact site and current municipal sign/site-plan evidence.,2,commercial_cleaning;commercial_insurance;internet
"Twenty-One Keewaydin Drive, LLC","Twenty-One Keewaydin Drive, LLC","Twenty-One Keewaydin Drive, LLC",PROPERTY_OWNER_ONLY,UNKNOWN,Salem,21 Keewaydin Drive,professional office,BUILDOUT,major_renovation,64.1,70.1,C,2,CONTACTABLE,PROPERTY_MANAGER,35,HISTORICAL,2025-07-30 00:00:00,2025-07-30 00:00:00,,,,58.2,CLEANING_C,,,,,HIGH,0.8400000000000001,2,2026-08-19 15:19:28.321351,2026-08-19 15:19:28.321351,,2026-08-19 17:37:38.824345,2026-08-19 15:19:28.321351,,actionable,"Building under construction is changing to a 33,894 sq ft adult-education facility.",2,commercial_cleaning;commercial_insurance;internet
"Singh Realty, LLC","Singh Realty, LLC","Singh Realty, LLC",DEVELOPER_ONLY,UNKNOWN,Salem,9 Manor Parkway,other,PLANNING,major_renovation,64.1,45.8,C,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2026-08-19 00:00:00,,,,,24.0,CLEANING_C,,,,,MEDIUM,0.72,1,2026-08-19 15:19:28.328200,2026-08-19 15:19:28.328200,,,2026-08-19 15:19:28.328200,,actionable,"New 22,736 sq ft 14-unit contractor building at an exact commercial site.",1,commercial_cleaning;commercial_insurance;internet
"Main Street 401, LLC","Main Street 401, LLC","Main Street 401, LLC",UNKNOWN,UNKNOWN,Salem,401 Main Street,professional office,PLANNING,major_renovation,64.1,38.3,NOT_READY,2,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2025-01-23 00:00:00,,,,,38.0,NOT_RELEVANT,,,,,MEDIUM,0.72,2,2026-08-19 15:19:28.335941,2026-08-19 15:19:28.335941,,,2026-08-19 15:19:28.335941,,false_positive,Office units are being converted to residential apartments.,2,commercial_cleaning;commercial_insurance;internet
"Net Lease Realty, Inc","Net Lease Realty, Inc",RPM Fuels,KNOWN,CONFIRMED,Bedford,137 Route 101,restaurant,PLANNING,major_renovation,54.0,88.3,A,2,CONTACTABLE,LOCAL_DIRECT,100,UPDATED,2026-04-20 00:00:00,2026-08-19 00:00:00,,,2026-08-19 16:10:35.686789,77.0,CLEANING_B,https://rpmfuels101.com,+16034722763,,,MEDIUM,0.72,2,2026-08-19 15:23:12.160905,,2026-08-19 17:37:38.801886,2026-08-19 17:37:38.802982,2026-08-19 15:23:12.160905,,actionable,Gas-station addition and conversion of service bays to convenience retail.,2,commercial_cleaning;commercial_insurance;internet
"Bellazardan, LLC","Bellazardan, LLC","Bellazardan, LLC",DEVELOPER_ONLY,UNKNOWN,Bedford,30 Harvey Road,warehouse/logistics,PLANNING,major_renovation,49.4,45.8,C,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2026-02-23 00:00:00,,,,,26.0,CLEANING_C,,,,,MEDIUM,0.72,1,2026-08-19 15:23:12.183163,,,,2026-08-19 15:23:12.183163,,actionable,"Current extension for approved 14,097 sq ft light-industrial project.",1,commercial_cleaning;commercial_insurance;internet
"SRR Bedford NH Ventures, LLC","SRR Bedford NH Ventures, LLC",Yatco,KNOWN,HIGH,Bedford,a property located at the corner of Technology Drive and South River Road,restaurant,STALE,major_renovation,49.1,78.5,C,1,CONTACTABLE,BUSINESS_GENERAL,75,HISTORICAL,2026-01-12 00:00:00,,,,,49.2,CLEANING_C,,+15087865670,,https://yatcoenergy.com/contact,LOW,0.9,1,2026-08-19 15:23:12.192742,,2026-08-19 17:37:38.814125,2026-08-19 17:37:38.815417,2026-08-19 15:23:12.192742,,actionable,"New gas station, convenience store, and drive-through fast-food project.",1,commercial_cleaning;commercial_insurance;internet
Bedford RLG Properties LLC,Bedford RLG Properties LLC,Bedford RLG Properties LLC,PROPERTY_OWNER_ONLY,UNKNOWN,Bedford,308 South River Road,other,STALE,major_renovation,49.1,58.5,C,1,CONTACTABLE,DEVELOPER,40,HISTORICAL,2026-01-12 00:00:00,,,,,20.0,CLEANING_C,,,,,LOW,0.9,1,2026-08-19 15:23:12.201058,,,2026-08-19 17:37:38.764215,2026-08-19 15:23:12.201058,,actionable,"Current 150,000 sq ft commercial warehouse/manufacturing proposal.",1,commercial_cleaning;commercial_insurance;internet
"265 SRR, LLC & Rockfish REI, LLC","265 SRR, LLC & Rockfish REI, LLC","265 SRR, LLC & Rockfish REI, LLC",DEVELOPER_ONLY,UNKNOWN,Bedford,269 and 265 South River Road,professional office,PLANNING,major_renovation,49.4,45.8,C,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2026-02-23 00:00:00,,,,,32.0,CLEANING_C,,,,,MEDIUM,0.72,1,2026-08-19 15:23:35.908138,,,,2026-08-19 15:23:35.908138,,actionable,"New 19,270 sq ft professional and medical office project with exact site.",1,commercial_cleaning;commercial_insurance;internet
