organization,brand,city,address,industry,stage,opportunity_type,score,stage_confidence,signal_count,first_detected_at,first_actionable_at,last_signal_at,estimated_open_window,review_status,review_note,source_count,vendor_needs
Society for the Protection of Forests,Society for the Protection of Forests,Portsmouth,400 Little Harbor Road,other,PLANNING,major_renovation,64.1,0.72,1,2026-08-19 15:16:52.573930,2026-08-19 15:16:52.573930,2026-08-19 15:16:52.573930,,not_actionable,Nonprofit shoreline-trail repair is not a new commercial customer event.,1,commercial_cleaning;commercial_insurance;internet
304 Maplewood LLC,304 Maplewood LLC,Portsmouth,304 Maplewood Avenue,professional office,PLANNING,major_renovation,64.1,0.72,1,2026-08-19 15:16:52.580262,2026-08-19 15:16:52.580262,2026-08-19 15:16:52.580262,,actionable,"Current 1,011 sq ft addition to a commercial office building.",1,commercial_cleaning;commercial_insurance;internet
Paul J. Griffin Family Trust,Paul J. Griffin Family Trust,Portsmouth,0 South Street and Richards Avenue,professional office,PLANNING,major_renovation,64.1,0.72,1,2026-08-19 15:16:52.587398,2026-08-19 15:16:52.587398,2026-08-19 15:16:52.587398,,duplicate,Duplicate representation of the South Street subdivision.,1,commercial_cleaning;commercial_insurance;internet
J. Paul Griffin Family Trust,J. Paul Griffin Family Trust,Portsmouth,0 South Street and Richards Avenue,professional office,PLANNING,major_renovation,64.1,0.72,1,2026-08-19 15:16:52.594123,2026-08-19 15:16:52.594123,2026-08-19 15:16:52.594123,,false_positive,Residential subdivision with no commercial operating event.,1,commercial_cleaning;commercial_insurance;internet
Sagamore Avenue CBC LLC,Sagamore Avenue CBC LLC,Portsmouth,1151 Sagamore Avenue,professional office,PLANNING,major_renovation,64.1,0.72,1,2026-08-19 15:16:52.601550,2026-08-19 15:16:52.601550,2026-08-19 15:16:52.601550,,duplicate,Duplicate legal-name variant for the 1151 Sagamore residential project.,1,commercial_cleaning;commercial_insurance;internet
1151 Sagamore Avenue CBC LLC,1151 Sagamore Avenue CBC LLC,Portsmouth,1151 Sagamore Avenue,professional office,PLANNING,major_renovation,64.1,0.72,1,2026-08-19 15:16:52.608316,2026-08-19 15:16:52.608316,2026-08-19 15:16:52.608316,,false_positive,Four standalone residential condominiums; no commercial opening.,1,commercial_cleaning;commercial_insurance;internet
The City of Portsmouth,The City of Portsmouth,Portsmouth,50 Clough Drive,other,PLANNING,major_renovation,64.1,0.72,1,2026-08-19 15:16:52.614753,2026-08-19 15:16:52.614753,2026-08-19 15:16:52.614753,,not_actionable,Municipal playground accessibility project is outside the commercial prospect thesis.,1,commercial_cleaning;commercial_insurance;internet
Potter's Green & Gift,Potter's Green & Gift,Dover,6 Third St,other,RELOCATING,relocation,59.5,0.88,1,2026-08-19 15:16:52.705072,,2026-08-19 15:16:52.705072,,not_actionable,Newsletter reported relocation after the new space had already been transformed.,1,commercial_cleaning;commercial_insurance;internet
Charros Mexican Cuisine,Charros Mexican Cuisine,Dover,47 Washington St,other,OPEN,new_business,80.4,0.98,1,2026-08-19 15:16:52.712685,2026-08-19 15:16:52.712685,2026-08-19 15:16:52.712685,,not_actionable,Official newsletter detected the restaurant only at soft opening; sales window is too late.,1,commercial_cleaning;commercial_insurance;internet
"Centro GA Willow Springs Plaza, LLC, Sunny Patel (Owners) Fernando Penagos","Centro GA Willow Springs Plaza, LLC, Sunny Patel (Owners) Fernando Penagos",Nashua,290-294 Daniel Webster Highway (Willow Springs Plaza),retail,STALE,major_renovation,49.1,0.9,1,2026-08-19 15:18:21.955654,,2026-08-19 15:18:21.955654,,stale,February 2025 nicotine-retail application has no current corroboration.,1,commercial_cleaning;commercial_insurance;internet
"ZJBV Properties, LLC","ZJBV Properties, LLC",Nashua,152 Temple Street and “L” Bridge Street,warehouse/logistics,STALE,major_renovation,49.1,0.9,1,2026-08-19 15:18:21.986468,,2026-08-19 15:18:21.986468,,false_positive,Residential multifamily development was admitted by equipment-storage wording.,1,commercial_cleaning;commercial_insurance;internet
"Ajima Investments, LLC (Owners) Xiaoyan (Shawn) Huang","Ajima Investments, LLC (Owners) Xiaoyan (Shawn) Huang",Nashua,427-429 Amherst Street,retail,STALE,major_renovation,49.1,0.9,1,2026-08-19 15:18:21.994157,,2026-08-19 15:18:21.994157,,stale,January 2025 nicotine-retail application has no current corroboration.,1,commercial_cleaning;commercial_insurance;internet
Unresolved commercial project — 2188 Candia Road,Unresolved commercial project — 2188 Candia Road,Manchester,2188 Candia Road,warehouse/logistics,PLANNING,major_renovation,62.4,0.72,1,2026-08-19 15:19:28.078657,,2026-08-19 15:19:28.078657,,not_actionable,Accessory outdoor storage for an existing neighboring auto-repair use.,1,commercial_cleaning;commercial_insurance;internet
Unresolved commercial project — 308 Lake Avenue,Unresolved commercial project — 308 Lake Avenue,Manchester,308 Lake Avenue,retail,PLANNING,major_renovation,62.4,0.72,1,2026-08-19 15:19:28.102797,,2026-08-19 15:19:28.102797,,false_positive,"Commercial space is being converted to residential units, not a B2B opening.",1,commercial_cleaning;commercial_insurance;internet
Unresolved commercial project — 1883 Elm Street,Unresolved commercial project — 1883 Elm Street,Manchester,1883 Elm Street,restaurant,PLANNING,major_renovation,57.1,0.72,1,2026-08-19 15:19:28.111269,,2026-08-19 15:19:28.111269,,uncertain,New vehicle-sales use is plausible but operator identity is unresolved.,1,commercial_cleaning;commercial_insurance;internet
Unresolved commercial project — 8051 South Willow Street,Unresolved commercial project — 8051 South Willow Street,Manchester,8051 South Willow Street,retail,PLANNING,major_renovation,57.1,0.72,1,2026-08-19 15:19:28.121359,,2026-08-19 15:19:28.121359,,uncertain,New beauty-salon use has an exact site but no resolved operating business.,1,commercial_cleaning;commercial_insurance;internet
Unresolved commercial project — 425 Candia Road,Unresolved commercial project — 425 Candia Road,Manchester,425 Candia Road,retail,PLANNING,major_renovation,54.8,0.72,1,2026-08-19 15:19:28.156503,,2026-08-19 15:19:28.156503,,uncertain,Beauty-salon expansion is current but the operating identity is unresolved.,1,commercial_cleaning;commercial_insurance;internet
Unresolved commercial project — 450 Howe Street,Unresolved commercial project — 450 Howe Street,Manchester,450 Howe Street,professional office,LOCATION_CONFIRMED,major_renovation,46.8,0.7,1,2026-08-19 15:19:28.163968,,2026-08-19 15:19:28.163968,,uncertain,Contractor-office establishment is current but the operator is unresolved.,1,commercial_cleaning;commercial_insurance;internet
Unresolved commercial project — 251 Pine Street,Unresolved commercial project — 251 Pine Street,Manchester,251 Pine Street,retail,STALE,major_renovation,47.9,0.9,1,2026-08-19 15:19:28.185278,,2026-08-19 15:19:28.185278,,false_positive,Residential-unit conversion was admitted by broad commercial-keyword filtering.,1,commercial_cleaning;commercial_insurance;internet
"Bluebird Salem, LLC","Bluebird Salem, LLC",Salem,9 Northeastern Boulevard,warehouse/logistics,LOCATION_CONFIRMED,major_renovation,57.8,0.7,1,2026-08-19 15:19:28.299517,,2026-08-19 15:19:28.299517,,actionable,Large new self-storage facility with current sign/site activity.,1,commercial_cleaning;commercial_insurance;internet
"Keewaydin Drive Realty, LLC","Keewaydin Drive Realty, LLC",Salem,15 Keewaydin Drive,professional office,LOCATION_CONFIRMED,major_renovation,57.8,0.7,1,2026-08-19 15:19:28.307246,,2026-08-19 15:19:28.307246,,not_actionable,Sign activity for an already approved/existing office building.,1,commercial_cleaning;commercial_insurance;internet
Wonder,Wonder,Salem,125 South Broadway,restaurant,LOCATION_CONFIRMED,new_location,59.5,0.7,1,2026-08-19 15:19:28.314850,,2026-08-19 15:19:28.314850,,actionable,Wonder has an exact site and current municipal sign/site-plan evidence.,1,commercial_cleaning;commercial_insurance;internet
"Twenty-One Keewaydin Drive, LLC","Twenty-One Keewaydin Drive, LLC",Salem,21 Keewaydin Drive,professional office,PLANNING,major_renovation,64.1,0.72,1,2026-08-19 15:19:28.321351,2026-08-19 15:19:28.321351,2026-08-19 15:19:28.321351,,actionable,"Building under construction is changing to a 33,894 sq ft adult-education facility.",1,commercial_cleaning;commercial_insurance;internet
"Singh Realty, LLC","Singh Realty, LLC",Salem,9 Manor Parkway,other,PLANNING,major_renovation,64.1,0.72,1,2026-08-19 15:19:28.328200,2026-08-19 15:19:28.328200,2026-08-19 15:19:28.328200,,actionable,"New 22,736 sq ft 14-unit contractor building at an exact commercial site.",1,commercial_cleaning;commercial_insurance;internet
"Main Street 401, LLC","Main Street 401, LLC",Salem,401 Main Street,professional office,PLANNING,major_renovation,64.1,0.72,1,2026-08-19 15:19:28.335941,2026-08-19 15:19:28.335941,2026-08-19 15:19:28.335941,,false_positive,Office units are being converted to residential apartments.,1,commercial_cleaning;commercial_insurance;internet
"Net Lease Realty, Inc","Net Lease Realty, Inc",Bedford,137 Route 101,restaurant,PLANNING,major_renovation,54.0,0.72,1,2026-08-19 15:23:12.160905,,2026-08-19 15:23:12.160905,,actionable,Gas-station addition and conversion of service bays to convenience retail.,1,commercial_cleaning;commercial_insurance;internet
"Bellazardan, LLC","Bellazardan, LLC",Bedford,30 Harvey Road,warehouse/logistics,PLANNING,major_renovation,49.4,0.72,1,2026-08-19 15:23:12.183163,,2026-08-19 15:23:12.183163,,actionable,"Current extension for approved 14,097 sq ft light-industrial project.",1,commercial_cleaning;commercial_insurance;internet
"SRR Bedford NH Ventures, LLC","SRR Bedford NH Ventures, LLC",Bedford,a property located at the corner of Technology Drive and South River Road,restaurant,STALE,major_renovation,49.1,0.9,1,2026-08-19 15:23:12.192742,,2026-08-19 15:23:12.192742,,actionable,"New gas station, convenience store, and drive-through fast-food project.",1,commercial_cleaning;commercial_insurance;internet
Bedford RLG Properties LLC,Bedford RLG Properties LLC,Bedford,308 South River Road,other,STALE,major_renovation,49.1,0.9,1,2026-08-19 15:23:12.201058,,2026-08-19 15:23:12.201058,,actionable,"Current 150,000 sq ft commercial warehouse/manufacturing proposal.",1,commercial_cleaning;commercial_insurance;internet
"265 SRR, LLC & Rockfish REI, LLC","265 SRR, LLC & Rockfish REI, LLC",Bedford,269 and 265 South River Road,professional office,PLANNING,major_renovation,49.4,0.72,1,2026-08-19 15:23:35.908138,,2026-08-19 15:23:35.908138,,actionable,"New 19,270 sq ft professional and medical office project with exact site.",1,commercial_cleaning;commercial_insurance;internet
